Date,Customer_ID,Product,Region,Quantity,Price,Marketing_Spend,Revenue,Profit,Tenure,MonthlyCharges,TotalCharges,Contract,Churn,Customer_Value_Segment,Month
2024-01-20,CUST020,Laptop,North,8,41749,48333.0,333992.0,68468.0,26,105.0,6868.0,Month-to-month,0,High,2024-01
2024-01-21,CUST021,Laptop,East,3,36518,38767.0,109554.0,22130.0,38,137.0,1000.0,Month-to-month,0,Medium,2024-01
2024-01-22,CUST022,Tablet,West,2,6713,25761.0,13426.0,2497.0,25,120.0,4855.0,Two year,0,Low,2024-01
2024-01-23,CUST023,Laptop,North,9,29275,43362.0,263475.0,54012.0,60,40.0,1755.0,One year,0,High,2024-01
2024-01-24,CUST024,Headphones,West,1,17838,26031.0,17838.0,3122.0,30,100.0,3710.0,Two year,0,Low,2024-01
2024-01-25,CUST025,Monitor,West,2,9191,29569.0,18382.0,3419.0,25,193.0,7565.0,Month-to-month,0,Low,2024-01
2024-01-26,CUST026,Laptop,North,3,25948,37369.0,77844.0,15958.0,47,181.0,3295.0,One year,0,Medium,2024-01
2024-01-27,CUST027,Tablet,North,1,38298,33562.0,38298.0,7315.0,60,101.0,3741.0,Month-to-month,0,Low,2024-01
2024-01-28,CUST028,Tablet,North,7,43495,44122.0,304465.0,58153.0,20,56.0,3950.0,One year,0,High,2024-01
2024-01-29,CUST029,Headphones,North,1,45467,38323.0,45467.0,8184.0,36,175.0,3682.0,One year,0,Low,2024-01
2024-01-30,CUST030,Tablet,North,9,11902,43218.0,107118.0,20460.0,34,190.0,7540.0,One year,0,Medium,2024-01
2024-01-31,CUST031,Tablet,East,6,34900,41211.0,209400.0,39367.0,28,101.0,4643.0,One year,0,High,2024-01
2024-02-01,CUST032,Phone,South,4,16997,35872.0,67988.0,12918.0,10,196.0,4825.0,Month-to-month,1,Medium,2024-02
2024-02-02,CUST033,Tablet,South,3,20696,34328.0,62088.0,11424.0,43,182.0,7129.0,One year,0,Medium,2024-02
2024-02-03,CUST034,Tablet,East,2,48602,42333.0,97204.0,18274.0,32,195.0,7139.0,One year,0,Medium,2024-02
2024-02-04,CUST035,Tablet,South,6,4339,28698.0,26034.0,4790.0,60,44.0,1302.0,One year,0,Low,2024-02
2024-02-05,CUST036,Tablet,East,4,45515,41632.0,182060.0,34227.0,50,116.0,690.0,Month-to-month,0,High,2024-02
2024-02-06,CUST037,Phone,North,5,40177,39178.0,200885.0,39574.0,37,42.0,947.0,Month-to-month,0,High,2024-02
2024-02-07,CUST038,Monitor,East,8,19256,42543.0,154048.0,28961.0,62,166.0,6225.0,Two year,0,High,2024-02
2024-02-08,CUST039,Monitor,South,1,39924,32793.0,39924.0,7346.0,50,84.0,858.0,Month-to-month,0,Low,2024-02
2024-02-09,CUST040,Phone,South,4,11494,32258.0,45976.0,8735.0,26,151.0,1952.0,Two year,0,Low,2024-02
2024-02-10,CUST041,Monitor,West,1,20083,23958.0,20083.0,3735.0,42,20.0,1950.0,Two year,0,Low,2024-02
2024-02-11,CUST042,Phone,West,1,18616,29216.0,18616.0,3574.0,7,148.0,2701.0,Two year,0,Low,2024-02
2024-02-12,CUST043,Tablet,West,6,43350,43332.0,260100.0,48379.0,63,89.0,6547.0,One year,0,High,2024-02
2024-02-13,CUST044,Monitor,West,4,43428,41202.0,173712.0,32310.0,42,123.0,3913.0,Month-to-month,0,High,2024-02
2024-02-14,CUST045,Phone,East,2,40244,35830.0,80488.0,15615.0,34,93.0,3344.0,Two year,0,Medium,2024-02
2024-02-15,CUST046,Tablet,West,2,11032,29244.0,22064.0,4104.0,32,170.0,4773.0,Two year,0,Low,2024-02
2024-02-16,CUST047,Phone,North,6,29499,37872.0,176994.0,34868.0,22,46.0,7555.0,Month-to-month,0,High,2024-02
2024-02-17,CUST048,Monitor,West,1,6720,25761.0,6720.0,1250.0,37,162.0,3735.0,Month-to-month,0,Low,2024-02
2024-02-18,CUST049,Laptop,South,1,32297,29822.0,32297.0,6395.0,56,49.0,3376.0,Month-to-month,0,Low,2024-02
2024-02-19,CUST050,Laptop,West,4,43848,42132.0,175392.0,35078.0,49,121.0,5161.0,One year,0,High,2024-02
2024-02-20,CUST051,Phone,West,9,15160,43658.0,136440.0,26196.0,71,172.0,416.0,Month-to-month,0,Medium,2024-02
2024-02-21,CUST052,Headphones,West,1,32524,33117.0,32524.0,5692.0,31,154.0,7537.0,Two year,0,Low,2024-02
2024-02-22,CUST053,Monitor,North,6,24160,35987.0,144960.0,27687.0,53,48.0,1497.0,One year,0,Medium,2024-02
2024-02-23,CUST054,Tablet,North,5,1308,27720.0,6540.0,1249.0,49,68.0,2615.0,Month-to-month,0,Low,2024-02
2024-02-24,CUST055,Tablet,South,7,4341,35482.0,30387.0,5591.0,9,157.0,7022.0,Month-to-month,1,Low,2024-02
2024-02-25,CUST056,Phone,North,3,37135,35337.0,111405.0,21947.0,47,54.0,6827.0,Two year,0,Medium,2024-02
2024-02-26,CUST057,Monitor,East,6,37055,42968.0,222330.0,41798.0,58,121.0,3537.0,One year,0,High,2024-02
2024-02-27,CUST058,Monitor,East,2,5272,23536.0,10544.0,1982.0,59,72.0,7053.0,Month-to-month,0,Low,2024-02
2024-02-28,CUST059,Laptop,South,5,15475,31221.0,77375.0,15320.0,36,38.0,3792.0,One year,0,Medium,2024-02
2024-02-29,CUST060,Headphones,South,3,13624,31668.0,40872.0,7030.0,26,182.0,7074.0,Month-to-month,0,Low,2024-02
2024-03-01,CUST061,Tablet,North,5,29840,41823.0,149200.0,28497.0,23,187.0,5608.0,Month-to-month,0,Medium,2024-03
2024-03-02,CUST062,Laptop,South,8,19661,44524.0,157288.0,31143.0,10,195.0,4284.0,Two year,1,High,2024-03
2024-03-03,CUST063,Monitor,East,9,24224,44502.0,218016.0,40987.0,53,128.0,5803.0,One year,0,High,2024-03
2024-03-04,CUST064,Laptop,West,5,17924,37917.0,89620.0,17924.0,25,176.0,4496.0,One year,0,Medium,2024-03
2024-03-05,CUST065,Phone,South,7,44652,49598.0,312564.0,59387.0,65,180.0,4142.0,One year,0,High,2024-03
2024-03-06,CUST066,Laptop,North,8,14381,41013.0,115048.0,23585.0,3,140.0,2541.0,One year,0,Medium,2024-03
2024-03-07,CUST067,Headphones,East,2,44487,34891.0,88974.0,15748.0,53,61.0,3631.0,One year,0,Medium,2024-03
2024-03-08,CUST068,Laptop,North,3,34303,35077.0,102909.0,21096.0,62,62.0,3016.0,Two year,0,Medium,2024-03
2024-03-09,CUST069,Tablet,North,3,23229,32413.0,69687.0,13310.0,2,102.0,1333.0,Two year,1,Medium,2024-03
2024-03-10,CUST070,Laptop,South,9,35418,43929.0,318762.0,63115.0,53,21.0,6828.0,One year,0,High,2024-03
2024-03-11,CUST071,Phone,West,4,34843,40002.0,139372.0,26759.0,69,153.0,1418.0,Month-to-month,0,Medium,2024-03
2024-03-12,CUST072,Headphones,East,8,18964,41310.0,151712.0,26853.0,68,153.0,1930.0,One year,0,Medium,2024-03
2024-03-13,CUST073,Headphones,West,7,49930,48077.0,349510.0,61164.0,13,125.0,3696.0,Two year,0,High,2024-03
2024-03-14,CUST074,Tablet,South,4,17512,33867.0,70048.0,12889.0,2,152.0,2038.0,Month-to-month,1,Medium,2024-03
2024-03-15,CUST075,Monitor,North,6,23381,36737.0,140286.0,26795.0,70,77.0,7593.0,Two year,0,Medium,2024-03
2024-03-16,CUST076,Phone,South,5,16596,36451.0,82980.0,15766.0,35,170.0,936.0,One year,0,Medium,2024-03
2024-03-17,CUST077,Laptop,South,7,2603,30684.0,18221.0,3608.0,4,43.0,7302.0,Month-to-month,1,Low,2024-03
2024-03-18,CUST078,Tablet,East,9,26110,44123.0,234990.0,44178.0,41,109.0,7937.0,Two year,0,High,2024-03
2024-03-19,CUST079,Tablet,North,9,19425,41617.0,174825.0,33392.0,8,95.0,3792.0,One year,0,High,2024-03
2024-03-20,CUST080,Phone,South,4,49101,43709.0,196404.0,37317.0,47,138.0,6406.0,Two year,0,High,2024-03
2024-03-21,CUST081,Laptop,East,4,28098,37814.0,112392.0,22703.0,35,139.0,5211.0,Two year,0,Medium,2024-03
2024-03-22,CUST082,Headphones,South,2,48769,40073.0,97538.0,16777.0,30,162.0,3917.0,One year,0,Medium,2024-03
2024-03-23,CUST083,Laptop,North,8,43861,50423.0,350888.0,71932.0,27,142.0,1908.0,Two year,0,High,2024-03
2024-03-24,CUST084,Phone,South,8,40518,48326.0,324144.0,61587.0,50,141.0,4412.0,Month-to-month,0,High,2024-03
2024-03-25,CUST085,Laptop,South,3,7455,28997.0,22365.0,4428.0,51,136.0,4725.0,Two year,0,Low,2024-03
2024-03-26,CUST086,Monitor,North,7,11591,32808.0,81137.0,15497.0,63,29.0,7685.0,Two year,0,Medium,2024-03
2024-03-27,CUST087,Tablet,West,4,3839,27677.0,15356.0,2856.0,43,103.0,2856.0,One year,0,Low,2024-03
2024-03-28,CUST088,Phone,West,6,4578,32076.0,27468.0,5274.0,40,108.0,2650.0,One year,0,Low,2024-03
2024-03-29,CUST089,Laptop,North,6,38037,46520.0,228222.0,46786.0,41,177.0,4075.0,One year,0,High,2024-03
2024-03-30,CUST090,Monitor,East,4,9483,30654.0,37932.0,7131.0,21,126.0,7735.0,One year,0,Low,2024-03
2024-03-31,CUST091,Laptop,North,1,7148,28132.0,7148.0,1465.0,3,188.0,2422.0,Two year,0,Low,2024-03
2024-04-01,CUST092,Tablet,South,5,30531,38724.0,152655.0,28089.0,42,122.0,1294.0,Two year,0,High,2024-04
2024-04-02,CUST093,Headphones,South,6,42813,39948.0,256878.0,44183.0,18,29.0,7469.0,Month-to-month,0,High,2024-04
2024-04-03,CUST094,Laptop,South,6,16667,39883.0,100002.0,19800.0,55,193.0,4344.0,Two year,0,Medium,2024-04
2024-04-04,CUST095,Tablet,West,7,19507,39769.0,136549.0,25398.0,21,140.0,3171.0,One year,0,Medium,2024-04
2024-04-05,CUST096,Tablet,North,8,20770,42778.0,166160.0,31737.0,20,150.0,1780.0,Month-to-month,0,High,2024-04
2024-04-06,CUST097,Headphones,West,1,7647,20376.0,7647.0,1338.0,15,40.0,510.0,Month-to-month,0,Low,2024-04
2024-04-07,CUST098,Tablet,East,5,27196,40152.0,135980.0,25564.0,42,172.0,1168.0,Month-to-month,0,Medium,2024-04
2024-04-08,CUST099,Monitor,North,1,30717,33084.0,30717.0,5867.0,10,143.0,3353.0,Two year,1,Low,2024-04
2024-04-09,CUST100,Headphones,South,5,23376,34292.0,116880.0,20103.0,39,84.0,7566.0,One year,0,Medium,2024-04
