CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,CustomerValue,TenureSegment
C00073,13,125,3696,Two year,Credit Card,No,1,0,1625,Developing
C00074,2,152,2038,Month-to-month,Bank Transfer,No,0,1,304,New
C00075,70,77,7593,Two year,Electronic Check,Yes,0,0,5390,Loyal
C00076,35,170,936,One year,Bank Transfer,Yes,0,0,5950,Developing
C00077,4,43,7302,Month-to-month,Credit Card,Yes,0,1,172,New
C00078,41,109,7937,Two year,Bank Transfer,Yes,1,0,4469,Loyal
C00079,8,95,3792,One year,Bank Transfer,Yes,1,0,760,New
C00080,47,138,6406,Two year,Credit Card,Yes,0,0,6486,Loyal
C00081,35,139,5211,Two year,Bank Transfer,No,0,0,4865,Developing
C00082,30,162,3917,One year,Credit Card,No,0,0,4860,Developing
C00083,27,142,1908,Two year,Bank Transfer,No,1,0,3834,Developing
C00084,50,141,4412,Month-to-month,Credit Card,No,0,0,7050,Loyal
C00085,51,136,4725,Two year,Bank Transfer,Yes,1,0,6936,Loyal
C00086,63,29,7685,Two year,Credit Card,Yes,1,0,1827,Loyal
C00087,43,103,2856,One year,Electronic Check,No,1,0,4429,Loyal
C00088,40,108,2650,One year,Electronic Check,No,1,0,4320,Loyal
C00089,41,177,4075,One year,Bank Transfer,Yes,0,0,7257,Loyal
C00090,21,126,7735,One year,Credit Card,Yes,0,0,2646,Developing
C00091,3,188,2422,Two year,Credit Card,No,1,0,564,New
C00092,42,122,1294,Two year,Bank Transfer,No,0,0,5124,Loyal
C00093,18,29,7469,Month-to-month,Electronic Check,Yes,0,0,522,Developing
C00094,55,193,4344,Two year,Bank Transfer,No,1,0,10615,Loyal
C00095,21,140,3171,One year,Electronic Check,No,1,0,2940,Developing
C00096,20,150,1780,Month-to-month,Electronic Check,Yes,0,0,3000,Developing
C00097,15,40,510,Month-to-month,Bank Transfer,No,0,0,600,Developing
C00098,42,172,1168,Month-to-month,Bank Transfer,No,1,0,7224,Loyal
C00099,10,143,3353,Two year,Electronic Check,No,1,1,1430,New
C00100,39,84,7566,One year,Electronic Check,No,1,0,3276,Loyal
C00101,66,170,1059,Month-to-month,Electronic Check,No,1,0,11220,Loyal
C00102,50,130,1087,One year,Electronic Check,Yes,1,0,6500,Loyal
C00103,44,78,6369,One year,Bank Transfer,Yes,1,0,3432,Loyal
C00104,7,39,6651,One year,Electronic Check,Yes,1,0,273,New
C00105,3,115,5547,Two year,Bank Transfer,No,0,1,345,New
C00106,21,75,7026,Two year,Bank Transfer,Yes,1,0,1575,Developing
C00107,3,59,7111,Month-to-month,Credit Card,Yes,1,1,177,New
C00108,18,56,7925,One year,Electronic Check,No,0,0,1008,Developing
C00109,48,152,4042,One year,Electronic Check,Yes,1,0,7296,Loyal
C00110,32,24,2939,Two year,Electronic Check,Yes,1,0,768,Developing
C00111,41,88,3461,One year,Bank Transfer,Yes,1,0,3608,Loyal
C00112,55,87,3353,Two year,Credit Card,No,1,0,4785,Loyal
C00113,15,102,1746,Month-to-month,Credit Card,No,1,0,1530,Developing
C00114,31,111,2539,Month-to-month,Credit Card,No,0,0,3441,Developing
C00115,33,160,2315,One year,Bank Transfer,No,0,0,5280,Developing
C00116,70,164,5320,One year,Credit Card,No,0,0,11480,Loyal
C00117,14,187,2225,Two year,Electronic Check,Yes,0,0,2618,Developing
C00118,35,98,4023,Two year,Bank Transfer,Yes,0,0,3430,Developing
C00119,56,83,562,Month-to-month,Bank Transfer,Yes,0,0,4648,Loyal
C00120,62,75,2451,One year,Credit Card,No,0,0,4650,Loyal
C00121,30,107,6906,One year,Credit Card,Yes,1,0,3210,Developing
C00122,15,147,2687,One year,Electronic Check,No,0,0,2205,Developing
C00123,41,114,2419,Two year,Bank Transfer,No,1,0,4674,Loyal
C00124,27,50,2751,Two year,Electronic Check,Yes,1,0,1350,Developing
C00125,4,177,950,Month-to-month,Credit Card,Yes,0,1,708,New
C00126,62,183,7208,Two year,Electronic Check,Yes,1,0,11346,Loyal
C00127,31,62,5887,One year,Bank Transfer,No,1,0,1922,Developing
C00128,13,137,7128,One year,Bank Transfer,Yes,0,0,1781,Developing
C00129,20,179,2692,Month-to-month,Bank Transfer,Yes,1,0,3580,Developing
C00130,8,174,3979,Two year,Credit Card,Yes,0,1,1392,New
C00131,2,125,7858,Month-to-month,Electronic Check,No,1,1,250,New
C00132,3,79,891,Month-to-month,Credit Card,No,1,1,237,New
C00133,48,92,5908,Two year,Bank Transfer,Yes,0,0,4416,Loyal
C00134,15,28,6569,Month-to-month,Credit Card,No,1,0,420,Developing
C00135,64,101,5706,Month-to-month,Bank Transfer,Yes,1,0,6464,Loyal
C00136,52,152,4318,Two year,Bank Transfer,Yes,0,0,7904,Loyal
C00137,10,134,4476,Month-to-month,Electronic Check,No,0,1,1340,New
C00138,30,188,4095,Two year,Electronic Check,Yes,0,0,5640,Developing
C00139,27,67,3567,Month-to-month,Credit Card,Yes,1,0,1809,Developing
C00140,2,184,5021,One year,Electronic Check,Yes,1,1,368,New
C00141,46,112,6817,Two year,Electronic Check,No,0,0,5152,Loyal
C00142,11,115,1713,Two year,Bank Transfer,Yes,1,1,1265,New
C00143,64,167,3677,Month-to-month,Bank Transfer,No,0,0,10688,Loyal
C00144,65,47,5540,One year,Bank Transfer,Yes,1,0,3055,Loyal
C00145,21,173,7651,Two year,Bank Transfer,Yes,0,0,3633,Developing
C00146,29,42,2058,One year,Credit Card,No,1,0,1218,Developing
C00147,6,133,7448,One year,Credit Card,No,0,1,798,New
C00148,34,24,2004,Two year,Bank Transfer,Yes,1,0,816,Developing
C00149,20,114,1250,One year,Bank Transfer,Yes,0,0,2280,Developing
C00150,42,132,3139,Month-to-month,Electronic Check,No,0,0,5544,Loyal
C00151,5,105,5965,One year,Credit Card,No,0,1,525,New
C00152,45,139,7654,Month-to-month,Credit Card,No,1,0,6255,Loyal
C00153,21,156,6366,Two year,Electronic Check,No,0,0,3276,Developing
C00154,37,158,3355,Two year,Electronic Check,No,0,0,5846,Loyal
C00155,68,40,5920,Month-to-month,Bank Transfer,Yes,1,0,2720,Loyal
C00156,26,148,4601,One year,Bank Transfer,Yes,0,0,3848,Developing
C00157,26,78,5632,Two year,Electronic Check,Yes,1,0,2028,Developing
C00158,1,86,7217,Two year,Bank Transfer,Yes,0,0,86,New
C00159,47,182,3250,One year,Electronic Check,No,1,0,8554,Loyal
C00160,30,154,4096,One year,Bank Transfer,Yes,0,0,4620,Developing
C00161,51,78,984,Month-to-month,Electronic Check,Yes,1,0,3978,Loyal
C00162,13,90,347,One year,Electronic Check,Yes,0,0,1170,Developing
C00163,64,185,3916,One year,Credit Card,Yes,1,0,11840,Loyal
C00164,60,171,220,Month-to-month,Credit Card,No,1,0,10260,Loyal
C00165,69,48,3419,One year,Bank Transfer,Yes,1,0,3312,Loyal
C00166,40,105,791,One year,Credit Card,Yes,0,0,4200,Loyal
C00167,23,110,6723,Two year,Bank Transfer,Yes,1,0,2530,Developing
C00168,42,80,5832,One year,Electronic Check,No,1,0,3360,Loyal
C00169,13,99,2938,Month-to-month,Credit Card,No,0,0,1287,Developing
C00170,24,84,6882,One year,Credit Card,Yes,0,0,2016,Developing
C00171,22,61,5363,Two year,Bank Transfer,Yes,1,0,1342,Developing
C00172,10,115,3717,One year,Electronic Check,Yes,0,1,1150,New
C00173,62,160,1811,Month-to-month,Credit Card,Yes,1,0,9920,Loyal
C00174,5,145,1090,Month-to-month,Credit Card,No,1,1,725,New
C00175,20,76,6396,Two year,Credit Card,Yes,1,0,1520,Developing
C00176,68,67,1797,Two year,Electronic Check,No,1,0,4556,Loyal
C00177,42,50,279,One year,Electronic Check,No,0,0,2100,Loyal
C00178,3,180,3232,One year,Bank Transfer,No,0,0,540,New
C00179,68,193,3285,One year,Credit Card,No,0,0,13124,Loyal
C00180,52,39,3233,Two year,Credit Card,Yes,1,0,2028,Loyal
C00181,4,135,4742,Month-to-month,Credit Card,No,1,1,540,New
C00182,13,64,4297,Month-to-month,Bank Transfer,Yes,1,0,832,Developing
C00183,56,151,735,Two year,Credit Card,Yes,1,0,8456,Loyal
C00184,61,29,2290,One year,Credit Card,Yes,0,0,1769,Loyal
C00185,47,130,2289,Month-to-month,Bank Transfer,Yes,0,0,6110,Loyal
C00186,59,93,7342,Month-to-month,Bank Transfer,No,0,0,5487,Loyal
C00187,47,199,6905,Two year,Electronic Check,Yes,1,0,9353,Loyal
C00188,49,163,3776,One year,Bank Transfer,No,0,0,7987,Loyal
C00189,31,100,4971,One year,Electronic Check,Yes,0,0,3100,Developing
C00190,52,185,7330,Two year,Credit Card,Yes,0,0,9620,Loyal
C00191,46,51,466,One year,Bank Transfer,Yes,0,0,2346,Loyal
C00192,43,31,7992,Month-to-month,Credit Card,No,0,0,1333,Loyal
C00193,65,158,3712,One year,Credit Card,No,0,0,10270,Loyal
C00194,71,138,6231,Month-to-month,Electronic Check,No,0,0,9798,Loyal
C00195,27,121,4317,One year,Bank Transfer,No,0,0,3267,Developing
C00196,30,133,3029,Month-to-month,Credit Card,Yes,1,0,3990,Developing
C00197,37,152,2750,One year,Credit Card,No,0,0,5624,Loyal
C00198,37,34,6987,Month-to-month,Electronic Check,No,1,0,1258,Loyal
C00199,3,63,1535,Two year,Electronic Check,No,0,0,189,New
C00200,42,143,7310,One year,Electronic Check,Yes,0,0,6006,Loyal
C00201,50,170,3185,Two year,Electronic Check,No,0,0,8500,Loyal
C00202,50,169,159,One year,Bank Transfer,No,0,0,8450,Loyal
C00203,29,189,5035,One year,Credit Card,Yes,1,0,5481,Developing
C00204,15,55,5421,Two year,Credit Card,No,0,0,825,Developing
C00205,69,40,3396,Month-to-month,Credit Card,Yes,0,0,2760,Loyal
C00206,69,94,5765,Month-to-month,Electronic Check,Yes,0,0,6486,Loyal
C00207,57,32,4351,One year,Bank Transfer,No,0,0,1824,Loyal
C00208,70,171,4801,Month-to-month,Electronic Check,No,0,0,11970,Loyal
C00209,46,199,4023,Month-to-month,Electronic Check,Yes,0,0,9154,Loyal
C00210,65,82,7742,Two year,Credit Card,Yes,0,0,5330,Loyal
C00211,65,113,2956,Month-to-month,Credit Card,Yes,0,0,7345,Loyal
C00212,51,160,4278,Two year,Credit Card,No,1,0,8160,Loyal
C00213,44,59,1893,Month-to-month,Credit Card,Yes,0,0,2596,Loyal
C00214,7,142,3099,Month-to-month,Bank Transfer,No,1,1,994,New
C00215,59,29,1393,One year,Electronic Check,Yes,0,0,1711,Loyal
C00216,8,102,2161,One year,Bank Transfer,Yes,1,0,816,New
C00217,10,152,5250,Month-to-month,Credit Card,Yes,1,1,1520,New
C00218,67,182,6193,Two year,Bank Transfer,Yes,0,0,12194,Loyal
C00219,45,177,3091,One year,Bank Transfer,No,0,0,7965,Loyal
C00220,33,198,2226,Two year,Bank Transfer,Yes,0,0,6534,Developing
C00221,57,118,5412,Two year,Credit Card,No,1,0,6726,Loyal
C00222,67,37,1247,Month-to-month,Credit Card,No,1,0,2479,Loyal
C00223,31,70,1256,Month-to-month,Credit Card,No,0,0,2170,Developing
C00224,19,43,6118,One year,Electronic Check,Yes,0,0,817,Developing
C00225,40,156,7024,One year,Electronic Check,No,0,0,6240,Loyal
C00226,24,142,7012,One year,Credit Card,Yes,0,0,3408,Developing
C00227,57,123,5830,Month-to-month,Bank Transfer,Yes,0,0,7011,Loyal
C00228,53,183,4023,Two year,Electronic Check,Yes,1,0,9699,Loyal
C00229,24,32,1635,One year,Bank Transfer,No,1,0,768,Developing
C00230,32,149,5477,Two year,Bank Transfer,No,1,0,4768,Developing
C00231,33,99,3225,One year,Credit Card,No,1,0,3267,Developing
C00232,20,151,2681,One year,Credit Card,No,1,0,3020,Developing
C00233,12,52,7459,Two year,Electronic Check,No,0,0,624,New
C00234,61,24,217,One year,Electronic Check,No,1,0,1464,Loyal
C00235,65,94,7183,One year,Bank Transfer,No,1,0,6110,Loyal
C00236,13,115,6305,Two year,Credit Card,No,1,0,1495,Developing
C00237,61,51,810,One year,Bank Transfer,No,0,0,3111,Loyal
C00238,33,151,6705,Month-to-month,Bank Transfer,No,1,0,4983,Developing
C00239,21,138,6404,Two year,Credit Card,Yes,1,0,2898,Developing
C00240,56,108,6378,Two year,Bank Transfer,Yes,1,0,6048,Loyal
C00241,69,121,7669,One year,Electronic Check,Yes,0,0,8349,Loyal
C00242,16,196,7704,Two year,Electronic Check,No,0,0,3136,Developing
C00243,28,33,1099,Two year,Credit Card,No,1,0,924,Developing
C00244,53,123,4561,One year,Bank Transfer,Yes,1,0,6519,Loyal
C00245,23,104,2991,Two year,Electronic Check,No,0,0,2392,Developing
C00246,15,60,3032,Month-to-month,Bank Transfer,No,1,0,900,Developing
C00247,43,130,6856,One year,Bank Transfer,No,0,0,5590,Loyal
C00248,60,48,4747,One year,Bank Transfer,No,1,0,2880,Loyal
C00249,48,79,3083,One year,Bank Transfer,Yes,1,0,3792,Loyal
C00250,58,90,3841,Two year,Electronic Check,No,1,0,5220,Loyal
C00251,24,48,1639,Month-to-month,Electronic Check,Yes,0,0,1152,Developing
C00252,9,138,515,Two year,Credit Card,No,0,1,1242,New
C00253,55,71,1965,Two year,Credit Card,Yes,1,0,3905,Loyal
C00254,26,182,3882,Month-to-month,Electronic Check,Yes,0,0,4732,Developing
C00255,31,88,4230,Two year,Electronic Check,No,1,0,2728,Developing
C00256,29,178,7961,Two year,Electronic Check,Yes,0,0,5162,Developing
C00257,65,30,6769,Month-to-month,Credit Card,No,0,0,1950,Loyal
C00258,50,120,1839,Two year,Credit Card,Yes,0,0,6000,Loyal
C00259,54,191,6674,Two year,Credit Card,No,1,0,10314,Loyal
C00260,31,85,1935,One year,Electronic Check,Yes,0,0,2635,Developing
C00261,49,41,7108,Two year,Bank Transfer,Yes,1,0,2009,Loyal
C00262,44,176,4069,Two year,Bank Transfer,No,0,0,7744,Loyal
C00263,1,39,2429,Month-to-month,Credit Card,Yes,1,1,39,New
C00264,71,156,812,One year,Credit Card,No,0,0,11076,Loyal
C00265,34,172,1619,Two year,Electronic Check,Yes,1,0,5848,Developing
C00266,6,115,1677,Two year,Bank Transfer,Yes,1,0,690,New
C00267,29,92,1792,Month-to-month,Credit Card,Yes,0,0,2668,Developing
C00268,69,177,2153,Two year,Bank Transfer,No,0,0,12213,Loyal
C00269,19,63,1186,Two year,Electronic Check,No,1,0,1197,Developing
C00270,43,81,7187,Two year,Credit Card,No,1,0,3483,Loyal
C00271,8,160,7182,Month-to-month,Bank Transfer,No,1,1,1280,New
C00272,43,85,6192,One year,Credit Card,Yes,1,0,3655,Loyal
C00273,29,64,6131,One year,Electronic Check,Yes,0,0,1856,Developing
C00274,67,142,1008,Month-to-month,Electronic Check,No,1,0,9514,Loyal
C00275,66,196,2989,Month-to-month,Electronic Check,No,0,0,12936,Loyal
C00276,49,94,4521,One year,Bank Transfer,Yes,1,0,4606,Loyal
C00277,58,174,1493,Two year,Credit Card,No,0,0,10092,Loyal
C00278,3,72,4282,One year,Credit Card,Yes,0,0,216,New
C00279,66,128,7087,One year,Electronic Check,No,1,0,8448,Loyal
C00280,57,43,6209,Two year,Bank Transfer,No,1,0,2451,Loyal
C00281,17,25,7759,Two year,Credit Card,No,1,0,425,Developing
C00282,18,158,7475,Two year,Electronic Check,Yes,0,0,2844,Developing
C00283,2,56,7493,Month-to-month,Electronic Check,No,1,1,112,New
C00284,13,94,261,Month-to-month,Bank Transfer,Yes,0,0,1222,Developing
C00285,26,171,6538,Two year,Credit Card,Yes,0,0,4446,Developing
C00286,48,80,6186,Month-to-month,Electronic Check,Yes,1,0,3840,Loyal
C00287,11,60,627,One year,Electronic Check,No,0,0,660,New
C00288,42,83,1173,One year,Bank Transfer,Yes,0,0,3486,Loyal
C00289,22,58,6472,One year,Electronic Check,No,1,0,1276,Developing
C00290,57,123,5518,One year,Credit Card,Yes,1,0,7011,Loyal
C00291,63,177,5573,One year,Credit Card,Yes,0,0,11151,Loyal
C00292,65,59,6420,Two year,Credit Card,No,0,0,3835,Loyal
C00293,13,140,727,One year,Bank Transfer,Yes,0,0,1820,Developing
C00294,70,128,5423,Month-to-month,Bank Transfer,Yes,0,0,8960,Loyal
C00295,6,59,6657,Two year,Credit Card,No,0,0,354,New
C00296,66,44,1995,One year,Electronic Check,Yes,0,0,2904,Loyal
C00297,15,163,4659,Month-to-month,Credit Card,No,0,0,2445,Developing
C00298,66,136,7139,Month-to-month,Bank Transfer,No,0,0,8976,Loyal
C00299,47,193,5219,Two year,Credit Card,No,1,0,9071,Loyal
C00300,26,93,3151,One year,Electronic Check,Yes,0,0,2418,Developing
C00301,14,176,5655,One year,Credit Card,Yes,1,0,2464,Developing
C00302,65,84,1193,Month-to-month,Electronic Check,No,1,0,5460,Loyal
C00303,58,128,7204,Month-to-month,Bank Transfer,Yes,0,0,7424,Loyal
C00304,21,179,840,One year,Bank Transfer,Yes,1,0,3759,Developing
C00305,61,61,7474,Month-to-month,Credit Card,No,1,0,3721,Loyal
C00306,11,88,7410,One year,Credit Card,No,0,0,968,New
C00307,20,107,2288,Two year,Bank Transfer,Yes,1,0,2140,Developing
C00308,55,169,1513,Two year,Electronic Check,No,0,0,9295,Loyal
C00309,9,149,1431,Month-to-month,Electronic Check,No,0,1,1341,New
C00310,41,98,7631,One year,Bank Transfer,Yes,0,0,4018,Loyal
C00311,58,72,6062,Month-to-month,Bank Transfer,No,0,0,4176,Loyal
C00312,61,177,5838,Month-to-month,Credit Card,Yes,1,0,10797,Loyal
C00313,32,100,7901,One year,Credit Card,Yes,0,0,3200,Developing
C00314,46,192,169,Month-to-month,Bank Transfer,Yes,0,0,8832,Loyal
C00315,28,185,4320,One year,Credit Card,No,0,0,5180,Developing
C00316,39,166,805,One year,Credit Card,No,1,0,6474,Loyal
C00317,61,99,6541,Month-to-month,Electronic Check,No,0,0,6039,Loyal
C00318,38,63,5531,Month-to-month,Electronic Check,No,1,0,2394,Loyal
C00319,34,90,7911,Month-to-month,Electronic Check,No,0,0,3060,Developing
C00320,43,63,4351,Two year,Bank Transfer,Yes,0,0,2709,Loyal
C00321,25,156,3381,One year,Bank Transfer,No,1,0,3900,Developing
C00322,52,60,2095,Two year,Bank Transfer,Yes,1,0,3120,Loyal
C00323,18,147,2845,Month-to-month,Bank Transfer,Yes,0,0,2646,Developing
C00324,9,55,4064,Month-to-month,Bank Transfer,Yes,0,1,495,New
C00325,57,80,177,One year,Credit Card,No,0,0,4560,Loyal
C00326,45,125,5533,One year,Credit Card,No,0,0,5625,Loyal
C00327,51,98,6795,Two year,Credit Card,Yes,1,0,4998,Loyal
C00328,57,115,7867,Month-to-month,Electronic Check,Yes,0,0,6555,Loyal
C00329,29,90,2039,One year,Credit Card,No,0,0,2610,Developing
C00330,50,151,3525,One year,Electronic Check,Yes,0,0,7550,Loyal
C00331,25,180,6676,Two year,Electronic Check,No,1,0,4500,Developing
C00332,55,84,4026,Month-to-month,Credit Card,Yes,0,0,4620,Loyal
C00333,31,40,7644,One year,Credit Card,No,0,0,1240,Developing
C00334,11,185,7387,One year,Bank Transfer,Yes,0,0,2035,New
C00335,43,70,1690,Month-to-month,Bank Transfer,No,1,0,3010,Loyal
C00336,18,188,2878,Month-to-month,Electronic Check,No,0,0,3384,Developing
C00337,9,24,3090,Two year,Electronic Check,No,1,0,216,New
C00338,6,161,458,Month-to-month,Electronic Check,Yes,0,1,966,New
C00339,28,95,6110,One year,Electronic Check,No,1,0,2660,Developing
C00340,4,20,5182,Two year,Bank Transfer,Yes,1,0,80,New
C00341,68,46,7768,Month-to-month,Electronic Check,No,0,0,3128,Loyal
C00342,58,142,1452,One year,Credit Card,Yes,1,0,8236,Loyal
C00343,67,67,1052,Month-to-month,Electronic Check,Yes,1,0,4489,Loyal
C00344,32,80,2998,Two year,Electronic Check,Yes,1,0,2560,Developing
C00345,65,29,3138,One year,Bank Transfer,No,1,0,1885,Loyal
C00346,10,89,6631,Month-to-month,Electronic Check,No,0,1,890,New
C00347,65,178,4809,One year,Electronic Check,No,0,0,11570,Loyal
C00348,3,129,7607,Month-to-month,Bank Transfer,No,1,1,387,New
C00349,32,138,714,One year,Electronic Check,No,0,0,4416,Developing
C00350,54,181,6354,Month-to-month,Electronic Check,Yes,0,0,9774,Loyal
C00351,57,187,774,One year,Bank Transfer,Yes,0,0,10659,Loyal
C00352,34,38,7888,Month-to-month,Credit Card,Yes,1,0,1292,Developing
C00353,6,137,4804,One year,Electronic Check,Yes,0,1,822,New
C00354,7,54,1631,One year,Credit Card,Yes,1,0,378,New
C00355,39,170,4762,Month-to-month,Electronic Check,No,0,0,6630,Loyal
C00356,44,68,1931,Two year,Bank Transfer,No,1,0,2992,Loyal
C00357,47,46,7361,One year,Credit Card,Yes,1,0,2162,Loyal
C00358,66,184,1534,Month-to-month,Electronic Check,Yes,0,0,12144,Loyal
C00359,46,119,656,Month-to-month,Bank Transfer,No,1,0,5474,Loyal
C00360,49,168,4471,Two year,Bank Transfer,Yes,1,0,8232,Loyal
C00361,45,118,4416,Two year,Bank Transfer,No,0,0,5310,Loyal
C00362,5,134,3651,One year,Credit Card,Yes,1,1,670,New
C00363,30,138,1585,One year,Bank Transfer,Yes,0,0,4140,Developing
C00364,48,53,7371,Two year,Credit Card,No,0,0,2544,Loyal
C00365,17,24,1389,One year,Bank Transfer,No,0,0,408,Developing
C00366,17,124,1196,Month-to-month,Credit Card,No,1,0,2108,Developing
C00367,33,101,2979,Two year,Credit Card,Yes,0,0,3333,Developing
C00368,10,81,5158,One year,Electronic Check,Yes,1,0,810,New
C00369,37,58,5083,Month-to-month,Credit Card,No,1,0,2146,Loyal
C00370,32,148,2526,Two year,Electronic Check,No,1,0,4736,Developing
C00371,20,49,5058,One year,Electronic Check,No,1,0,980,Developing
C00372,14,27,2388,Two year,Bank Transfer,Yes,0,0,378,Developing
C00373,57,126,1514,Month-to-month,Bank Transfer,Yes,0,0,7182,Loyal
C00374,40,130,5612,One year,Electronic Check,Yes,1,0,5200,Loyal
C00375,29,20,4628,One year,Bank Transfer,Yes,1,0,580,Developing
C00376,33,196,2107,One year,Bank Transfer,Yes,0,0,6468,Developing
C00377,36,192,3483,One year,Electronic Check,No,0,0,6912,Developing
C00378,31,181,4712,Two year,Bank Transfer,No,1,0,5611,Developing
C00379,41,76,4187,Two year,Bank Transfer,No,1,0,3116,Loyal
