Customer_ID,Total_Revenue,Orders,Units,Average_Order_Value,First_Order,Last_Order,Main_Region,Main_Product,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,Estimated_Lifetime_Value,Churn_Label,Tenure_Group,_merge
CUST021,109554,1,3,109554.0,2024-01-21,2024-01-21,East,Laptop,,,,,,,,,,,,left_only
CUST022,13426,1,2,13426.0,2024-01-22,2024-01-22,West,Tablet,,,,,,,,,,,,left_only
CUST023,263475,1,9,263475.0,2024-01-23,2024-01-23,North,Laptop,,,,,,,,,,,,left_only
CUST024,17838,1,1,17838.0,2024-01-24,2024-01-24,West,Headphones,,,,,,,,,,,,left_only
CUST025,18382,1,2,18382.0,2024-01-25,2024-01-25,West,Monitor,,,,,,,,,,,,left_only
CUST026,77844,1,3,77844.0,2024-01-26,2024-01-26,North,Laptop,,,,,,,,,,,,left_only
CUST027,38298,1,1,38298.0,2024-01-27,2024-01-27,North,Tablet,,,,,,,,,,,,left_only
CUST028,304465,1,7,304465.0,2024-01-28,2024-01-28,North,Tablet,,,,,,,,,,,,left_only
CUST029,45467,1,1,45467.0,2024-01-29,2024-01-29,North,Headphones,,,,,,,,,,,,left_only
CUST030,107118,1,9,107118.0,2024-01-30,2024-01-30,North,Tablet,,,,,,,,,,,,left_only
CUST031,209400,1,6,209400.0,2024-01-31,2024-01-31,East,Tablet,,,,,,,,,,,,left_only
CUST032,67988,1,4,67988.0,2024-02-01,2024-02-01,South,Phone,,,,,,,,,,,,left_only
CUST033,62088,1,3,62088.0,2024-02-02,2024-02-02,South,Tablet,,,,,,,,,,,,left_only
CUST034,97204,1,2,97204.0,2024-02-03,2024-02-03,East,Tablet,,,,,,,,,,,,left_only
CUST035,26034,1,6,26034.0,2024-02-04,2024-02-04,South,Tablet,,,,,,,,,,,,left_only
CUST036,182060,1,4,182060.0,2024-02-05,2024-02-05,East,Tablet,,,,,,,,,,,,left_only
CUST037,200885,1,5,200885.0,2024-02-06,2024-02-06,North,Phone,,,,,,,,,,,,left_only
CUST038,154048,1,8,154048.0,2024-02-07,2024-02-07,East,Monitor,,,,,,,,,,,,left_only
CUST039,39924,1,1,39924.0,2024-02-08,2024-02-08,South,Monitor,,,,,,,,,,,,left_only
CUST040,45976,1,4,45976.0,2024-02-09,2024-02-09,South,Phone,,,,,,,,,,,,left_only
CUST041,20083,1,1,20083.0,2024-02-10,2024-02-10,West,Monitor,,,,,,,,,,,,left_only
CUST042,18616,1,1,18616.0,2024-02-11,2024-02-11,West,Phone,,,,,,,,,,,,left_only
CUST043,260100,1,6,260100.0,2024-02-12,2024-02-12,West,Tablet,,,,,,,,,,,,left_only
CUST044,173712,1,4,173712.0,2024-02-13,2024-02-13,West,Monitor,,,,,,,,,,,,left_only
CUST045,80488,1,2,80488.0,2024-02-14,2024-02-14,East,Phone,,,,,,,,,,,,left_only
CUST046,22064,1,2,22064.0,2024-02-15,2024-02-15,West,Tablet,,,,,,,,,,,,left_only
CUST047,176994,1,6,176994.0,2024-02-16,2024-02-16,North,Phone,,,,,,,,,,,,left_only
CUST048,6720,1,1,6720.0,2024-02-17,2024-02-17,West,Monitor,,,,,,,,,,,,left_only
CUST049,32297,1,1,32297.0,2024-02-18,2024-02-18,South,Laptop,,,,,,,,,,,,left_only
CUST050,175392,1,4,175392.0,2024-02-19,2024-02-19,West,Laptop,,,,,,,,,,,,left_only
CUST051,136440,1,9,136440.0,2024-02-20,2024-02-20,West,Phone,,,,,,,,,,,,left_only
CUST052,32524,1,1,32524.0,2024-02-21,2024-02-21,West,Headphones,,,,,,,,,,,,left_only
CUST053,144960,1,6,144960.0,2024-02-22,2024-02-22,North,Monitor,,,,,,,,,,,,left_only
CUST054,6540,1,5,6540.0,2024-02-23,2024-02-23,North,Tablet,,,,,,,,,,,,left_only
CUST055,30387,1,7,30387.0,2024-02-24,2024-02-24,South,Tablet,,,,,,,,,,,,left_only
CUST056,111405,1,3,111405.0,2024-02-25,2024-02-25,North,Phone,,,,,,,,,,,,left_only
CUST057,222330,1,6,222330.0,2024-02-26,2024-02-26,East,Monitor,,,,,,,,,,,,left_only
CUST058,10544,1,2,10544.0,2024-02-27,2024-02-27,East,Monitor,,,,,,,,,,,,left_only
CUST059,77375,1,5,77375.0,2024-02-28,2024-02-28,South,Laptop,,,,,,,,,,,,left_only
CUST060,40872,1,3,40872.0,2024-02-29,2024-02-29,South,Headphones,,,,,,,,,,,,left_only
CUST061,149200,1,5,149200.0,2024-03-01,2024-03-01,North,Tablet,,,,,,,,,,,,left_only
CUST062,157288,1,8,157288.0,2024-03-02,2024-03-02,South,Laptop,,,,,,,,,,,,left_only
CUST063,218016,1,9,218016.0,2024-03-03,2024-03-03,East,Monitor,,,,,,,,,,,,left_only
CUST064,89620,1,5,89620.0,2024-03-04,2024-03-04,West,Laptop,,,,,,,,,,,,left_only
CUST065,312564,1,7,312564.0,2024-03-05,2024-03-05,South,Phone,,,,,,,,,,,,left_only
CUST066,115048,1,8,115048.0,2024-03-06,2024-03-06,North,Laptop,,,,,,,,,,,,left_only
CUST067,88974,1,2,88974.0,2024-03-07,2024-03-07,East,Headphones,,,,,,,,,,,,left_only
CUST068,102909,1,3,102909.0,2024-03-08,2024-03-08,North,Laptop,,,,,,,,,,,,left_only
CUST069,69687,1,3,69687.0,2024-03-09,2024-03-09,North,Tablet,,,,,,,,,,,,left_only
CUST070,318762,1,9,318762.0,2024-03-10,2024-03-10,South,Laptop,,,,,,,,,,,,left_only
CUST071,139372,1,4,139372.0,2024-03-11,2024-03-11,West,Phone,,,,,,,,,,,,left_only
CUST072,151712,1,8,151712.0,2024-03-12,2024-03-12,East,Headphones,,,,,,,,,,,,left_only
CUST073,349510,1,7,349510.0,2024-03-13,2024-03-13,West,Headphones,,,,,,,,,,,,left_only
CUST074,70048,1,4,70048.0,2024-03-14,2024-03-14,South,Tablet,,,,,,,,,,,,left_only
CUST075,140286,1,6,140286.0,2024-03-15,2024-03-15,North,Monitor,,,,,,,,,,,,left_only
CUST076,82980,1,5,82980.0,2024-03-16,2024-03-16,South,Phone,,,,,,,,,,,,left_only
CUST077,18221,1,7,18221.0,2024-03-17,2024-03-17,South,Laptop,,,,,,,,,,,,left_only
CUST078,234990,1,9,234990.0,2024-03-18,2024-03-18,East,Tablet,,,,,,,,,,,,left_only
CUST079,174825,1,9,174825.0,2024-03-19,2024-03-19,North,Tablet,,,,,,,,,,,,left_only
CUST080,196404,1,4,196404.0,2024-03-20,2024-03-20,South,Phone,,,,,,,,,,,,left_only
CUST081,112392,1,4,112392.0,2024-03-21,2024-03-21,East,Laptop,,,,,,,,,,,,left_only
CUST082,97538,1,2,97538.0,2024-03-22,2024-03-22,South,Headphones,,,,,,,,,,,,left_only
CUST083,350888,1,8,350888.0,2024-03-23,2024-03-23,North,Laptop,,,,,,,,,,,,left_only
CUST084,324144,1,8,324144.0,2024-03-24,2024-03-24,South,Phone,,,,,,,,,,,,left_only
CUST085,22365,1,3,22365.0,2024-03-25,2024-03-25,South,Laptop,,,,,,,,,,,,left_only
CUST086,81137,1,7,81137.0,2024-03-26,2024-03-26,North,Monitor,,,,,,,,,,,,left_only
CUST087,15356,1,4,15356.0,2024-03-27,2024-03-27,West,Tablet,,,,,,,,,,,,left_only
CUST088,27468,1,6,27468.0,2024-03-28,2024-03-28,West,Phone,,,,,,,,,,,,left_only
CUST089,228222,1,6,228222.0,2024-03-29,2024-03-29,North,Laptop,,,,,,,,,,,,left_only
CUST090,37932,1,4,37932.0,2024-03-30,2024-03-30,East,Monitor,,,,,,,,,,,,left_only
CUST091,7148,1,1,7148.0,2024-03-31,2024-03-31,North,Laptop,,,,,,,,,,,,left_only
CUST092,152655,1,5,152655.0,2024-04-01,2024-04-01,South,Tablet,,,,,,,,,,,,left_only
CUST093,256878,1,6,256878.0,2024-04-02,2024-04-02,South,Headphones,,,,,,,,,,,,left_only
CUST094,100002,1,6,100002.0,2024-04-03,2024-04-03,South,Laptop,,,,,,,,,,,,left_only
CUST095,136549,1,7,136549.0,2024-04-04,2024-04-04,West,Tablet,,,,,,,,,,,,left_only
CUST096,166160,1,8,166160.0,2024-04-05,2024-04-05,North,Tablet,,,,,,,,,,,,left_only
CUST097,7647,1,1,7647.0,2024-04-06,2024-04-06,West,Headphones,,,,,,,,,,,,left_only
CUST098,135980,1,5,135980.0,2024-04-07,2024-04-07,East,Tablet,,,,,,,,,,,,left_only
CUST099,30717,1,1,30717.0,2024-04-08,2024-04-08,North,Monitor,,,,,,,,,,,,left_only
CUST100,116880,1,5,116880.0,2024-04-09,2024-04-09,South,Headphones,,,,,,,,,,,,left_only
